"year","week","city","prevalence_count","population_size"
44,2,"Blackburn",0,107150
44,2,"Exeter",0,76900
44,2,"Leeds",6,508000
44,4,"Blackburn",0,107150
44,4,"Exeter",0,76900
44,4,"Leeds",7,508000
44,6,"Blackburn",2,107150
44,6,"Exeter",2,76900
44,6,"Leeds",9,508000
44,8,"Blackburn",5,107150
44,8,"Exeter",0,76900
44,8,"Leeds",8,508000
44,10,"Blackburn",1,107150
44,10,"Exeter",0,76900
44,10,"Leeds",4,508000
44,12,"Blackburn",0,107150
44,12,"Exeter",1,76900
44,12,"Leeds",12,508000
44,14,"Blackburn",2,107150
44,14,"Exeter",4,76900
44,14,"Leeds",21,508000
44,16,"Blackburn",1,107150
44,16,"Exeter",1,76900
44,16,"Leeds",32,508000
44,18,"Blackburn",1,107150
44,18,"Exeter",0,76900
44,18,"Leeds",25,508000
44,20,"Blackburn",0,107150
44,20,"Exeter",4,76900
44,20,"Leeds",17,508000
44,22,"Blackburn",1,107150
44,22,"Exeter",12,76900
44,22,"Leeds",26,508000
44,24,"Blackburn",6,107150
44,24,"Exeter",25,76900
44,24,"Leeds",29,508000
44,26,"Blackburn",2,107150
44,26,"Exeter",58,76900
44,26,"Leeds",20,508000
44,28,"Blackburn",5,107150
44,28,"Exeter",61,76900
44,28,"Leeds",26,508000
44,30,"Blackburn",5,107150
44,30,"Exeter",62,76900
44,30,"Leeds",10,508000
44,32,"Blackburn",5,107150
44,32,"Exeter",81,76900
44,32,"Leeds",12,508000
44,34,"Blackburn",7,107150
44,34,"Exeter",28,76900
44,34,"Leeds",6,508000
44,36,"Blackburn",17,107150
44,36,"Exeter",9,76900
44,36,"Leeds",3,508000
44,38,"Blackburn",27,107150
44,38,"Exeter",10,76900
44,38,"Leeds",1,508000
44,40,"Blackburn",26,107150
44,40,"Exeter",7,76900
44,40,"Leeds",3,508000
44,42,"Blackburn",57,107150
44,42,"Exeter",9,76900
44,42,"Leeds",10,508000
44,44,"Blackburn",84,107150
44,44,"Exeter",14,76900
44,44,"Leeds",40,508000
44,46,"Blackburn",120,107150
44,46,"Exeter",19,76900
44,46,"Leeds",56,508000
44,48,"Blackburn",227,107150
44,48,"Exeter",14,76900
44,48,"Leeds",65,508000
44,50,"Blackburn",325,107150
44,50,"Exeter",32,76900
44,50,"Leeds",179,508000
44,52,"Blackburn",271,107150
44,52,"Exeter",33,76900
44,52,"Leeds",133,508000
45,54,"Blackburn",175,107150
45,54,"Exeter",87,76900
45,54,"Leeds",289,508000
45,56,"Blackburn",87,107150
45,56,"Exeter",71,76900
45,56,"Leeds",525,508000
45,58,"Blackburn",33,107150
45,58,"Exeter",79,76900
45,58,"Leeds",1263,508000
45,60,"Blackburn",10,107150
45,60,"Exeter",97,76900
45,60,"Leeds",1777,508000
45,62,"Blackburn",5,107150
45,62,"Exeter",82,76900
45,62,"Leeds",1963,508000
45,64,"Blackburn",3,107150
45,64,"Exeter",40,76900
45,64,"Leeds",1778,508000
45,66,"Blackburn",2,107150
45,66,"Exeter",29,76900
45,66,"Leeds",845,508000
45,68,"Blackburn",3,107150
45,68,"Exeter",10,76900
45,68,"Leeds",489,508000
45,70,"Blackburn",1,107150
45,70,"Exeter",4,76900
45,70,"Leeds",207,508000
45,72,"Blackburn",1,107150
45,72,"Exeter",5,76900
45,72,"Leeds",151,508000
45,74,"Blackburn",2,107150
45,74,"Exeter",5,76900
45,74,"Leeds",80,508000
45,76,"Blackburn",0,107150
45,76,"Exeter",1,76900
45,76,"Leeds",24,508000
45,78,"Blackburn",0,107150
45,78,"Exeter",1,76900
45,78,"Leeds",20,508000
45,80,"Blackburn",2,107150
45,80,"Exeter",1,76900
45,80,"Leeds",8,508000
45,82,"Blackburn",1,107150
45,82,"Exeter",1,76900
45,82,"Leeds",13,508000
45,84,"Blackburn",1,107150
45,84,"Exeter",0,76900
45,84,"Leeds",8,508000
45,86,"Blackburn",0,107150
45,86,"Exeter",0,76900
45,86,"Leeds",2,508000
45,88,"Blackburn",0,107150
45,88,"Exeter",0,76900
45,88,"Leeds",4,508000
45,90,"Blackburn",1,107150
45,90,"Exeter",0,76900
45,90,"Leeds",3,508000
45,92,"Blackburn",0,107150
45,92,"Exeter",1,76900
45,92,"Leeds",7,508000
45,94,"Blackburn",0,107150
45,94,"Exeter",0,76900
45,94,"Leeds",4,508000
45,96,"Blackburn",1,107150
45,96,"Exeter",2,76900
45,96,"Leeds",2,508000
45,98,"Blackburn",2,107150
45,98,"Exeter",0,76900
45,98,"Leeds",3,508000
45,100,"Blackburn",0,107150
45,100,"Exeter",0,76900
45,100,"Leeds",4,508000
45,102,"Blackburn",0,107150
45,102,"Exeter",0,76900
45,102,"Leeds",2,508000
45,104,"Blackburn",0,107150
45,104,"Exeter",0,76900
45,104,"Leeds",3,508000
