year,week,city,prevalence_count,population_size
44,2,Blackburn,0,107150
44,2,Exeter,0,76900
44,2,Leeds,6,508000
44,4,Blackburn,0,107150
44,4,Exeter,0,76900
44,4,Leeds,7,508000
44,6,Blackburn,2,107150
44,6,Exeter,2,76900
44,6,Leeds,9,508000
44,8,Blackburn,5,107150
44,8,Exeter,0,76900
44,8,Leeds,8,508000
44,10,Blackburn,1,107150
44,10,Exeter,0,76900
44,10,Leeds,4,508000
44,12,Blackburn,0,107150
44,12,Exeter,1,76900
44,12,Leeds,12,508000
44,14,Blackburn,2,107150
44,14,Exeter,4,76900
44,14,Leeds,21,508000
44,16,Blackburn,1,107150
44,16,Exeter,1,76900
44,16,Leeds,32,508000
44,18,Blackburn,1,107150
44,18,Exeter,0,76900
44,18,Leeds,25,508000
44,20,Blackburn,0,107150
44,20,Exeter,4,76900
44,20,Leeds,17,508000
44,22,Blackburn,1,107150
44,22,Exeter,12,76900
44,22,Leeds,26,508000
44,24,Blackburn,6,107150
44,24,Exeter,25,76900
44,24,Leeds,29,508000
44,26,Blackburn,2,107150
44,26,Exeter,58,76900
44,26,Leeds,20,508000
44,28,Blackburn,5,107150
44,28,Exeter,61,76900
44,28,Leeds,26,508000
44,30,Blackburn,5,107150
44,30,Exeter,62,76900
44,30,Leeds,10,508000
44,32,Blackburn,5,107150
44,32,Exeter,81,76900
44,32,Leeds,12,508000
44,34,Blackburn,7,107150
44,34,Exeter,28,76900
44,34,Leeds,6,508000
44,36,Blackburn,17,107150
44,36,Exeter,9,76900
44,36,Leeds,3,508000
44,38,Blackburn,27,107150
44,38,Exeter,10,76900
44,38,Leeds,1,508000
44,40,Blackburn,26,107150
44,40,Exeter,7,76900
44,40,Leeds,3,508000
44,42,Blackburn,57,107150
44,42,Exeter,9,76900
44,42,Leeds,10,508000
44,44,Blackburn,84,107150
44,44,Exeter,14,76900
44,44,Leeds,40,508000
44,46,Blackburn,120,107150
44,46,Exeter,19,76900
44,46,Leeds,56,508000
44,48,Blackburn,227,107150
44,48,Exeter,14,76900
44,48,Leeds,65,508000
44,50,Blackburn,325,107150
44,50,Exeter,32,76900
44,50,Leeds,179,508000
44,52,Blackburn,271,107150
44,52,Exeter,33,76900
44,52,Leeds,133,508000
45,2,Blackburn,175,107150
45,2,Exeter,87,76900
45,2,Leeds,289,508000
45,4,Blackburn,87,107150
45,4,Exeter,71,76900
45,4,Leeds,525,508000
45,6,Blackburn,33,107150
45,6,Exeter,79,76900
45,6,Leeds,1263,508000
45,8,Blackburn,10,107150
45,8,Exeter,97,76900
45,8,Leeds,1777,508000
45,10,Blackburn,5,107150
45,10,Exeter,82,76900
45,10,Leeds,1963,508000
45,12,Blackburn,3,107150
45,12,Exeter,40,76900
45,12,Leeds,1778,508000
45,14,Blackburn,2,107150
45,14,Exeter,29,76900
45,14,Leeds,845,508000
45,16,Blackburn,3,107150
45,16,Exeter,10,76900
45,16,Leeds,489,508000
45,18,Blackburn,1,107150
45,18,Exeter,4,76900
45,18,Leeds,207,508000
45,20,Blackburn,1,107150
45,20,Exeter,5,76900
45,20,Leeds,151,508000
45,22,Blackburn,2,107150
45,22,Exeter,5,76900
45,22,Leeds,80,508000
45,24,Blackburn,0,107150
45,24,Exeter,1,76900
45,24,Leeds,24,508000
45,26,Blackburn,0,107150
45,26,Exeter,1,76900
45,26,Leeds,20,508000
45,28,Blackburn,2,107150
45,28,Exeter,1,76900
45,28,Leeds,8,508000
45,30,Blackburn,1,107150
45,30,Exeter,1,76900
45,30,Leeds,13,508000
45,32,Blackburn,1,107150
45,32,Exeter,0,76900
45,32,Leeds,8,508000
45,34,Blackburn,0,107150
45,34,Exeter,0,76900
45,34,Leeds,2,508000
45,36,Blackburn,0,107150
45,36,Exeter,0,76900
45,36,Leeds,4,508000
45,38,Blackburn,1,107150
45,38,Exeter,0,76900
45,38,Leeds,3,508000
45,40,Blackburn,0,107150
45,40,Exeter,1,76900
45,40,Leeds,7,508000
45,42,Blackburn,0,107150
45,42,Exeter,0,76900
45,42,Leeds,4,508000
45,44,Blackburn,1,107150
45,44,Exeter,2,76900
45,44,Leeds,2,508000
45,46,Blackburn,2,107150
45,46,Exeter,0,76900
45,46,Leeds,3,508000
45,48,Blackburn,0,107150
45,48,Exeter,0,76900
45,48,Leeds,4,508000
45,50,Blackburn,0,107150
45,50,Exeter,0,76900
45,50,Leeds,2,508000
45,52,Blackburn,0,107150
45,52,Exeter,0,76900
45,52,Leeds,3,508000
